candidate_id,rank,score,reasoning
CAND_0004402,1,0.6663,"Rank 1: blended fit 0.67 (semantic match 0.60, behavioral engagement 0.82). Weaker fit — included as a lower-rank option."
CAND_0093193,2,0.6661,"Rank 2: blended fit 0.67 (semantic match 0.61, behavioral engagement 0.80). Weaker fit — included as a lower-rank option."
CAND_0064326,3,0.6644,"Rank 3: blended fit 0.66 (semantic match 0.61, behavioral engagement 0.80). Weaker fit — included as a lower-rank option."
CAND_0081846,4,0.6617,"Rank 4: blended fit 0.66 (semantic match 0.60, behavioral engagement 0.82). Weaker fit — included as a lower-rank option."
CAND_0053591,5,0.6611,"Rank 5: blended fit 0.66 (semantic match 0.62, behavioral engagement 0.75). Weaker fit — included as a lower-rank option."
CAND_0006567,6,0.6585,"Rank 6: blended fit 0.66 (semantic match 0.61, behavioral engagement 0.77). Weaker fit — included as a lower-rank option."
CAND_0046132,7,0.6581,"Rank 7: blended fit 0.66 (semantic match 0.58, behavioral engagement 0.83). Weaker fit — included as a lower-rank option."
CAND_0054318,8,0.6579,"Rank 8: blended fit 0.66 (semantic match 0.59, behavioral engagement 0.81). Weaker fit — included as a lower-rank option."
CAND_0046525,9,0.6578,"Rank 9: blended fit 0.66 (semantic match 0.60, behavioral engagement 0.80). Weaker fit — included as a lower-rank option."
CAND_0002025,10,0.6564,"Rank 10: blended fit 0.66 (semantic match 0.59, behavioral engagement 0.81). Weaker fit — included as a lower-rank option."
CAND_0011327,11,0.6556,"Rank 11: blended fit 0.66 (semantic match 0.60, behavioral engagement 0.80). Weaker fit — included as a lower-rank option."
CAND_0034164,12,0.6543,"Rank 12: blended fit 0.65 (semantic match 0.59, behavioral engagement 0.81). Weaker fit — included as a lower-rank option."
CAND_0005538,13,0.6542,"Rank 13: blended fit 0.65 (semantic match 0.59, behavioral engagement 0.79). Weaker fit — included as a lower-rank option."
CAND_0055905,14,0.6542,"Rank 14: blended fit 0.65 (semantic match 0.60, behavioral engagement 0.78). Weaker fit — included as a lower-rank option."
CAND_0071974,15,0.6527,"Rank 15: blended fit 0.65 (semantic match 0.60, behavioral engagement 0.77). Weaker fit — included as a lower-rank option."
CAND_0084819,16,0.6524,"Rank 16: blended fit 0.65 (semantic match 0.60, behavioral engagement 0.78). Weaker fit — included as a lower-rank option."
CAND_0011687,17,0.6477,"Rank 17: blended fit 0.65 (semantic match 0.58, behavioral engagement 0.80). Weaker fit — included as a lower-rank option."
CAND_0098454,18,0.6472,"Rank 18: blended fit 0.65 (semantic match 0.58, behavioral engagement 0.81). Weaker fit — included as a lower-rank option."
CAND_0076831,19,0.6470,"Rank 19: blended fit 0.65 (semantic match 0.62, behavioral engagement 0.70). Weaker fit — included as a lower-rank option."
